id;nome;dt_nascimento;sexo;pelagem;eh_vivo
1;CFA Franc BCEAO Branding optical;2020-01-19T16:33:28;FEMEA;BAIA;false
2;Common SQL Estates;2020-01-19T11:45:58;MACHO;PRETA;true
3;Generic Rubber Tuna backing up Ouguiya;2020-01-19T06:31:33;FEMEA;BRANCA;false
4;experiences transmitter;2020-01-19T15:11:57;MACHO;CASTANHA;true
5;override card;2020-01-19T14:09:11;FEMEA;LOBUNA;true
6;Baby wireless silver;2020-01-19T02:56:33;MACHO;CASTANHA;false
7;Baby vortals;2020-01-19T10:41:59;MACHO;AMARILHA;false
8;Synergistic;2020-01-19T18:55:47;FEMEA;BAIA;true
9;Officer;2020-01-18T20:17:44;MACHO;PRETA;false
10;customized Metrics;2020-01-19T19:22:47;FEMEA;LOBUNA;false
