id;criador;proprietario;livro;registro;exame_dna;chip;eh_bloqueado
1;Nepal matrix;Money Market Account Indian Rupee Ngultrum;Gorgeous Senior Intelligent Granite Shirt;pink leverage;pixel;auxiliary virtual;true
2;Rwanda;Director Analyst;Accountability navigating;Jewelery optimize multi-byte;magenta Branding Savings Account;mindshare North Carolina functionalities;false
3;override Assistant Ergonomic;Isle index;Fantastic Plastic Pizza;index brand revolutionize;yellow explicit Frozen;International Licensed Concrete Sausages throughput;false
4;vortals South Carolina Investment Account;seamless;Facilitator synergize Future;Regional Handmade Cotton;copy next generation;Principal drive;true
5;cross-platform;Intelligent;Tasty Integration;wireless digital parsing;Plastic;fuchsia Chips;true
6;ivory enhance District;Savings Account Green eyeballs;Summit Borders Intelligent;Cambridgeshire;neutral;robust;false
7;invoice payment;Investment Account;Avon synthesizing;Handcrafted Rubber Computer white alarm;e-services New Mexico Internal;cross-platform Automated mobile;false
8;Baby Lebanese Pound deposit;sky blue;Dominica Table;Tactics white deposit;generating granular Pre-emptive;cutting-edge Cheese Facilitator;true
9;parsing uniform web services;harness Fresh Generic Steel Pants;help-desk Shoes Australia;JBOD;open-source overriding;Customizable;false
10;Buckinghamshire;Costa Rican Colon mission-critical;technologies Alabama Versatile;Refined black;Bacon;Shoes Borders indexing;false
