id;cep;logradouro;complemento;bairro;localidade;uf
1;82195;Senior Movies;Strategist Soap;online Uruguay Lodge;solution;District Alabama Buckinghamshire
2;12230;Forward;Chair;motivating;Bacon Integration;Fall circuit bandwidth-monitored
3;37167;Buckinghamshire quantify;calculate;Plastic;Home Loan Account Response deposit;Handcrafted cross-platform
4;30529;repurpose Handmade;Personal Loan Account Bacon sticky;deposit Belgium connecting;magenta;salmon
5;43248;bypass;transmit;Manager Bacon North Dakota;Concrete;Auto Loan Account
6;28468;visualize GB;dynamic calculate reinvent;Gorgeous Wooden Car Stand-alone interactive;Streets;Centralized Circle
7;98052;Lempira Credit Card Account synthesizing;Principal RSS XML;magenta mobile Gibraltar Pound;Maryland;Personal Loan Account
8;46649;Health Oval pink;function;Granite Path;proactive Salad Creative;Buckinghamshire Architect reciprocal
9;71077;Chair;black Mali;Chair mint green;Texas Secured;Avon
10;42865;knowledge base;Ohio;Garden deposit;program;Fords Intelligent Fresh
