id;nome;descricao;eh_administrador;eh_financeiro;eh_operacional;eh_veterinario
1;Personal Loan Account quantify;e-markets Bahamian Dollar user-centric;true;true;true;true
2;harness Cheese;New Mexico Associate brand;true;false;false;false
3;Wells;invoice compress Falkland Islands (Malvinas);true;false;true;true
4;seize quantifying;Accounts circuit revolutionary;false;false;true;true
5;Somalia;Incredible Granite Sausages Avon;false;false;true;false
6;Auto Loan Account Kentucky Credit Card Account;Island Auto Loan Account generating;true;true;true;false
7;withdrawal;4th generation Bedfordshire;true;true;true;true
8;Shirt Pants quantify;leverage program;true;true;false;false
9;United Kingdom New Hampshire;Concrete;false;false;false;true
10;Personal Loan Account;Kids;true;true;false;false
